# OCT iter       1519;   J_T =   5.984794090181E-03;   pulse_id =          1
# converged
#               time [ns]           Re(ampl) [MHz]           Im(ampl) [MHz]
  7.84142071035517674E+00 -8.13074638045450087E+01  3.41316836021906269E+01
  7.86643321660830352E+00 -8.16400739180776753E+01  3.24388736344351400E+01
  7.89144572286143031E+00 -8.19797166679847891E+01  3.07227775338397748E+01
  7.91645822911455710E+00 -8.23267437944940639E+01  2.89836153983157701E+01
  7.94147073536768300E+00 -8.26814793074265566E+01  2.72216539954321632E+01
  7.96648324162080979E+00 -8.30442205462402399E+01  2.54372073608305840E+01
  7.99149574787393657E+00 -8.34152392990107074E+01  2.36306372713116701E+01
  8.01650825412706247E+00 -8.37947829652845400E+01  2.18023535864305842E+01
  8.04152076038018926E+00 -8.41830757468039366E+01  1.99528144524627393E+01
  8.06653326663331605E+00 -8.45803198494645301E+01  1.80825263626132973E+01
  8.09154577288644283E+00 -8.49866966795324714E+01  1.61920440673692738E+01
  8.11655827913956962E+00 -8.54023680171299162E+01  1.42819703289514468E+01
  8.14157078539269641E+00 -8.58274771503255067E+01  1.23529555139877800E+01
  8.16658329164582319E+00 -8.62621499538536227E+01  1.04056970187752604E+01
  8.19159579789894821E+00 -8.67064958974908251E+01  8.44093852195540073E+00
  8.21660830415207499E+00 -8.71606089704477682E+01  6.45946906003148857E+00
  8.24162081040520178E+00 -8.76245685097822644E+01  4.46212192202693902E+00
  8.26663331665832857E+00 -8.80984399226927195E+01  2.44977336069289509E+00
  8.29164582291145535E+00 -8.85822752946819634E+01  4.23341119059345572E-01
  8.31665832916458214E+00 -8.90761138778412231E+01 -1.61621722721160799E+00
  8.34167083541770893E+00 -8.95799824558766318E+01 -3.66790610926409455E+00
  8.36668334167083572E+00 -9.00938955849715200E+01 -5.73069398167424371E+00
  8.39169584792396073E+00 -9.06178557119862802E+01 -7.80351550922878268E+00
  8.41670835417708751E+00 -9.11518531739214524E+01 -9.88527391421427915E+00
  8.44172086043021430E+00 -9.16958660847985527E+01 -1.19748434718300611E+01
  8.46673336668334109E+00 -9.22498601182427933E+01 -1.40710721385498179E+01
  8.49174587293646788E+00 -9.28137881959006279E+01 -1.61727842954835666E+01
  8.51675837918959466E+00 -9.33875900934273773E+01 -1.82787835861328389E+01
  8.54177088544272145E+00 -9.39711919770556534E+01 -2.03878558254762439E+01
  8.56678339169584824E+00 -9.45645058846807132E+01 -2.24987719551699641E+01
  8.59179589794897325E+00 -9.51674291659270466E+01 -2.46102910178869188E+01
  8.61680840420210004E+00 -9.57798438957932348E+01 -2.67211631225463861E+01
  8.64182091045522682E+00 -9.64016162761661661E+01 -2.88301323714771698E+01
  8.66683341670835361E+00 -9.70325960387851865E+01 -3.09359397204815956E+01
  8.69184592296148040E+00 -9.76726158620666780E+01 -3.30373257433901699E+01
  8.71685842921460718E+00 -9.83214908126727778E+01 -3.51330332740151263E+01
  8.74187093546773397E+00 -9.89790178207401397E+01 -3.72218099004859937E+01
  8.76688344172086076E+00 -9.96449751954500442E+01 -3.93024102897171232E+01
